Date,Process_Name,Processing_Time_Hours,Error_Rate,Manual_Steps_Required,Automation_Level,Phase
2023-06-01,Lead Qualification,3.5,0.1552,11,Low,Before_Optimization
2023-06-01,Customer Onboarding,10.16,0.1153,8,Low,Before_Optimization
2023-06-01,Invoice Processing,1.53,0.1224,11,Low,Before_Optimization
2023-06-01,Report Generation,5.4,0.1602,9,Low,Before_Optimization
2023-06-01,Data Quality Checks,2.43,0.1673,10,Low,Before_Optimization
2023-06-01,Dashboard Updates,1.62,0.1556,13,Low,Before_Optimization
2023-06-01,Client Communications,1.39,0.0646,10,Low,Before_Optimization
2023-06-01,Performance Reviews,6.9,0.1559,8,Low,Before_Optimization
2023-06-02,Lead Qualification,3.69,0.0578,8,Low,Before_Optimization
2023-06-02,Customer Onboarding,8.13,0.1223,12,Low,Before_Optimization
2023-06-02,Invoice Processing,2.21,0.1572,10,Low,Before_Optimization
2023-06-02,Report Generation,4.31,0.0698,9,Low,Before_Optimization
2023-06-02,Data Quality Checks,4.1,0.1516,11,Low,Before_Optimization
2023-06-02,Dashboard Updates,2.01,0.1807,10,Low,Before_Optimization
2023-06-02,Client Communications,1.15,0.0606,13,Low,Before_Optimization
2023-06-02,Performance Reviews,7.42,0.1358,14,Low,Before_Optimization
2023-06-03,Lead Qualification,3.59,0.0518,11,Low,Before_Optimization
2023-06-03,Customer Onboarding,7.45,0.053,12,Low,Before_Optimization
2023-06-03,Invoice Processing,1.52,0.1029,8,Low,Before_Optimization
2023-06-03,Report Generation,5.82,0.1146,11,Low,Before_Optimization
2023-06-03,Data Quality Checks,3.25,0.0603,10,Low,Before_Optimization
2023-06-03,Dashboard Updates,2.1,0.0626,8,Low,Before_Optimization
2023-06-03,Client Communications,1.28,0.0999,9,Low,Before_Optimization
2023-06-03,Performance Reviews,5.66,0.1072,8,Low,Before_Optimization
2023-06-04,Lead Qualification,3.12,0.1507,14,Low,Before_Optimization
2023-06-04,Customer Onboarding,7.05,0.1671,13,Low,Before_Optimization
2023-06-04,Invoice Processing,1.83,0.1986,9,Low,Before_Optimization
2023-06-04,Report Generation,5.84,0.1872,9,Low,Before_Optimization
2023-06-04,Data Quality Checks,3.35,0.1966,9,Low,Before_Optimization
2023-06-04,Dashboard Updates,2.96,0.067,13,Low,Before_Optimization
2023-06-04,Client Communications,1.19,0.0785,11,Low,Before_Optimization
2023-06-04,Performance Reviews,6.58,0.102,11,Low,Before_Optimization
2023-06-05,Lead Qualification,2.13,0.1408,9,Low,Before_Optimization
2023-06-05,Customer Onboarding,9.11,0.0903,11,Low,Before_Optimization
2023-06-05,Invoice Processing,1.78,0.1535,9,Low,Before_Optimization
2023-06-05,Report Generation,4.89,0.0615,12,Low,Before_Optimization
2023-06-05,Data Quality Checks,4.34,0.0603,8,Low,Before_Optimization
2023-06-05,Dashboard Updates,1.73,0.1399,11,Low,Before_Optimization
2023-06-05,Client Communications,0.86,0.133,12,Low,Before_Optimization
2023-06-05,Performance Reviews,4.86,0.1948,14,Low,Before_Optimization
2023-06-06,Lead Qualification,2.99,0.1176,13,Low,Before_Optimization
2023-06-06,Customer Onboarding,8.15,0.0907,11,Low,Before_Optimization
2023-06-06,Invoice Processing,1.2,0.0761,10,Low,Before_Optimization
2023-06-06,Report Generation,3.5,0.0732,14,Low,Before_Optimization
2023-06-06,Data Quality Checks,2.85,0.1909,12,Low,Before_Optimization
2023-06-06,Dashboard Updates,1.88,0.1381,9,Low,Before_Optimization
2023-06-06,Client Communications,1.06,0.0576,8,Low,Before_Optimization
