Month,Department,Employee_ID,Tasks_Completed,Overtime_Hours,Satisfaction_Score,Stress_Level,Phase
2023-03,Sales,Employee_002,28,10.4,3.9,8.5,Before_Optimization
2023-03,Sales,Employee_048,27,1.9,3.5,7.3,Before_Optimization
2023-03,Sales,Employee_018,19,5.7,4.0,6.8,Before_Optimization
2023-03,Sales,Employee_016,25,1.0,3.1,6.9,Before_Optimization
2023-03,Sales,Employee_015,19,2.1,3.6,6.1,Before_Optimization
2023-03,Sales,Employee_009,27,5.2,3.9,8.1,Before_Optimization
2023-03,Sales,Employee_007,29,12.0,3.7,7.1,Before_Optimization
2023-03,Sales,Employee_035,20,10.8,3.1,8.2,Before_Optimization
2023-03,Marketing,Employee_038,18,2.3,2.9,7.8,Before_Optimization
2023-03,Marketing,Employee_028,16,2.4,3.3,8.7,Before_Optimization
2023-03,Marketing,Employee_003,31,0.3,3.3,8.1,Before_Optimization
2023-03,Marketing,Employee_002,22,2.6,3.7,7.1,Before_Optimization
2023-03,Marketing,Employee_006,30,1.4,3.2,7.4,Before_Optimization
2023-03,Marketing,Employee_014,20,3.3,3.9,7.5,Before_Optimization
2023-03,Marketing,Employee_015,27,3.1,2.5,7.5,Before_Optimization
2023-03,Marketing,Employee_033,25,11.6,3.2,7.0,Before_Optimization
2023-03,Operations,Employee_002,19,11.2,2.9,6.7,Before_Optimization
2023-03,Operations,Employee_036,25,8.8,3.4,6.3,Before_Optimization
2023-03,Operations,Employee_013,22,11.4,3.0,7.4,Before_Optimization
2023-03,Operations,Employee_046,21,2.9,4.0,8.1,Before_Optimization
2023-03,Operations,Employee_042,19,3.9,3.3,8.5,Before_Optimization
2023-03,Operations,Employee_045,26,8.5,2.5,8.3,Before_Optimization
2023-03,Operations,Employee_035,27,2.8,3.7,8.4,Before_Optimization
2023-03,Operations,Employee_027,23,6.6,2.5,6.2,Before_Optimization
2023-03,Operations,Employee_015,18,5.7,4.0,8.0,Before_Optimization
2023-03,Operations,Employee_029,15,5.5,2.7,8.8,Before_Optimization
2023-03,Operations,Employee_038,24,0.9,3.2,6.7,Before_Optimization
2023-03,Operations,Employee_018,30,14.3,2.8,7.4,Before_Optimization
2023-03,Customer Success,Employee_049,28,10.1,2.8,6.3,Before_Optimization
2023-03,Customer Success,Employee_011,33,1.3,3.7,8.7,Before_Optimization
2023-03,Customer Success,Employee_045,34,19.6,3.3,7.1,Before_Optimization
2023-03,Customer Success,Employee_028,24,1.6,3.1,6.5,Before_Optimization
2023-03,Customer Success,Employee_022,31,7.3,3.3,6.2,Before_Optimization
2023-03,Customer Success,Employee_018,35,3.1,2.7,7.0,Before_Optimization
2023-03,Customer Success,Employee_010,25,9.3,2.7,6.4,Before_Optimization
2023-03,Customer Success,Employee_014,24,0.2,3.7,6.1,Before_Optimization
2023-03,Finance,Employee_007,31,29.4,3.4,8.2,Before_Optimization
2023-03,Finance,Employee_006,18,14.6,3.5,7.5,Before_Optimization
2023-03,Finance,Employee_025,28,7.2,3.8,7.1,Before_Optimization
2023-03,Finance,Employee_050,18,10.4,2.7,6.6,Before_Optimization
2023-03,Finance,Employee_023,19,0.5,3.5,7.1,Before_Optimization
2023-03,Finance,Employee_046,18,13.3,2.9,6.6,Before_Optimization
2023-03,Finance,Employee_039,26,4.1,2.8,8.3,Before_Optimization
2023-03,Finance,Employee_017,20,12.3,2.8,7.9,Before_Optimization
2023-03,Finance,Employee_003,29,6.1,2.8,7.3,Before_Optimization
2023-03,Finance,Employee_030,26,7.5,3.1,6.8,Before_Optimization
2023-04,Sales,Employee_008,19,8.3,3.5,7.1,Before_Optimization
2023-04,Sales,Employee_025,21,11.9,3.2,7.8,Before_Optimization
2023-04,Sales,Employee_006,23,14.4,3.5,7.5,Before_Optimization
2023-04,Sales,Employee_036,24,9.1,3.3,7.9,Before_Optimization
2023-04,Sales,Employee_019,30,6.6,2.6,6.1,Before_Optimization
2023-04,Sales,Employee_041,21,15.3,3.3,7.6,Before_Optimization
2023-04,Sales,Employee_040,23,1.0,3.6,8.8,Before_Optimization
2023-04,Sales,Employee_024,24,19.7,2.6,8.3,Before_Optimization
2023-04,Sales,Employee_037,27,2.8,3.5,8.4,Before_Optimization
2023-04,Sales,Employee_013,18,0.9,3.8,7.5,Before_Optimization
2023-04,Sales,Employee_005,30,1.1,2.6,6.8,Before_Optimization
2023-04,Sales,Employee_003,21,0.2,3.3,7.2,Before_Optimization
2023-04,Marketing,Employee_050,26,8.0,4.0,6.4,Before_Optimization
2023-04,Marketing,Employee_019,24,4.3,3.5,7.5,Before_Optimization
2023-04,Marketing,Employee_006,25,38.3,3.9,6.9,Before_Optimization
2023-04,Marketing,Employee_015,18,46.9,2.9,7.1,Before_Optimization
2023-04,Marketing,Employee_007,35,2.8,3.4,8.8,Before_Optimization
2023-04,Marketing,Employee_025,30,10.7,2.8,8.5,Before_Optimization
2023-04,Marketing,Employee_018,23,2.5,3.3,6.3,Before_Optimization
2023-04,Marketing,Employee_030,27,10.1,3.3,6.1,Before_Optimization
2023-04,Marketing,Employee_041,34,11.0,3.7,8.2,Before_Optimization
2023-04,Operations,Employee_011,24,7.8,3.8,8.4,Before_Optimization
2023-04,Operations,Employee_024,13,0.3,2.7,7.8,Before_Optimization
2023-04,Operations,Employee_023,32,4.8,3.9,8.4,Before_Optimization
2023-04,Operations,Employee_014,25,5.9,2.7,6.4,Before_Optimization
2023-04,Operations,Employee_043,20,21.3,3.7,7.3,Before_Optimization
2023-04,Operations,Employee_018,25,9.7,3.7,6.7,Before_Optimization
