Month,Channel,Ad_Spend,Leads_Generated,Cost_Per_Acquisition,Click_Through_Rate,Implementation_Phase
2023-01,Google Ads,7353.77,101,72.77,0.0647,Before
2023-01,Facebook Ads,6345.96,122,51.64,0.0352,Before
2023-01,TikTok Ads,4730.88,80,59.13,0.0403,Before
2023-01,LinkedIn Ads,4915.4,53,92.72,0.0358,Before
2023-01,Email Marketing,473.96,164,2.89,0.0637,Before
2023-01,Organic Search,0.0,112,0.0,0.0695,Before
2023-02,Google Ads,7078.38,127,55.49,0.0431,Before
2023-02,Facebook Ads,6912.38,132,51.99,0.0574,Before
2023-02,TikTok Ads,4172.4,73,56.81,0.0196,Before
2023-02,LinkedIn Ads,5303.28,65,80.69,0.0321,Before
2023-02,Email Marketing,528.97,191,2.76,0.0599,Before
2023-02,Organic Search,0.0,115,0.0,0.0301,Before
2023-03,Google Ads,7576.92,98,76.7,0.0178,Before
2023-03,Facebook Ads,6038.07,136,44.38,0.0685,Before
2023-03,TikTok Ads,3223.51,76,42.34,0.0336,Before
2023-03,LinkedIn Ads,4038.66,50,79.21,0.039,Before
2023-03,Email Marketing,498.57,192,2.59,0.0472,Before
2023-03,Organic Search,0.0,80,0.0,0.0425,Before
2023-04,Google Ads,9483.2,120,78.43,0.0574,Before
2023-04,Facebook Ads,5548.47,166,33.34,0.0641,Before
2023-04,TikTok Ads,4034.07,95,42.36,0.0188,Before
2023-04,LinkedIn Ads,4033.9,66,60.67,0.0665,Before
2023-04,Email Marketing,424.04,181,2.34,0.0112,Before
2023-04,Organic Search,0.0,110,0.0,0.0463,Before
2023-05,Google Ads,7513.91,113,66.0,0.0101,Before
2023-05,Facebook Ads,5519.52,158,34.76,0.0782,Before
2023-05,TikTok Ads,4555.3,64,70.35,0.0729,Before
2023-05,LinkedIn Ads,5566.4,66,83.42,0.0421,Before
2023-05,Email Marketing,479.6,184,2.6,0.0146,Before
2023-05,Organic Search,0.0,89,0.0,0.0439,Before
2023-06,Google Ads,8791.82,118,74.04,0.014,Before
2023-06,Facebook Ads,7098.7,176,40.2,0.065,Before
2023-06,TikTok Ads,4786.12,81,58.78,0.0774,Before
2023-06,LinkedIn Ads,4151.21,56,73.12,0.0258,Before
2023-06,Email Marketing,439.17,171,2.56,0.0536,Before
2023-06,Organic Search,0.0,103,0.0,0.0203,Before
2023-07,Google Ads,8995.6,154,58.38,0.0372,After
2023-07,Facebook Ads,6417.91,178,35.96,0.0342,After
2023-07,TikTok Ads,4667.98,95,48.72,0.0429,After
2023-07,LinkedIn Ads,5780.28,78,74.0,0.0144,After
2023-07,Email Marketing,429.46,225,1.91,0.0542,After
2023-07,Organic Search,0.0,115,0.0,0.0771,After
2023-08,Google Ads,8094.91,142,56.9,0.045,After
2023-08,Facebook Ads,6431.09,171,37.48,0.0292,After
2023-08,TikTok Ads,4491.14,99,45.28,0.0483,After
2023-08,LinkedIn Ads,4865.63,68,71.39,0.0216,After
2023-08,Email Marketing,489.11,235,2.08,0.0135,After
2023-08,Organic Search,0.0,137,0.0,0.0655,After
2023-09,Google Ads,9132.11,142,64.19,0.0772,After
2023-09,Facebook Ads,5272.62,204,25.79,0.0796,After
2023-09,TikTok Ads,4338.76,109,39.58,0.0499,After
2023-09,LinkedIn Ads,4519.08,74,61.02,0.0515,After
2023-09,Email Marketing,414.62,256,1.62,0.0787,After
2023-09,Organic Search,0.0,132,0.0,0.0736,After
2023-10,Google Ads,9419.85,163,57.51,0.0465,After
2023-10,Facebook Ads,7145.54,197,36.24,0.0213,After
2023-10,TikTok Ads,3963.04,104,37.97,0.0273,After
2023-10,LinkedIn Ads,5281.23,77,68.15,0.0214,After
2023-10,Email Marketing,513.02,263,1.95,0.0449,After
2023-10,Organic Search,0.0,112,0.0,0.035,After
2023-11,Google Ads,9363.82,141,66.01,0.0544,After
2023-11,Facebook Ads,5332.98,180,29.49,0.0694,After
2023-11,TikTok Ads,4366.18,91,47.51,0.04,After
2023-11,LinkedIn Ads,4058.34,74,54.32,0.0564,After
2023-11,Email Marketing,423.7,239,1.77,0.0378,After
2023-11,Organic Search,0.0,137,0.0,0.0131,After
2023-12,Google Ads,8835.23,146,60.45,0.0375,After
2023-12,Facebook Ads,6610.24,203,32.53,0.0766,After
2023-12,TikTok Ads,4123.4,97,42.45,0.0651,After
2023-12,LinkedIn Ads,4502.0,75,59.27,0.0351,After
2023-12,Email Marketing,531.33,237,2.24,0.0234,After
2023-12,Organic Search,0.0,115,0.0,0.0454,After
2024-01,Google Ads,7106.73,136,52.19,0.0125,After
2024-01,Facebook Ads,5220.53,201,25.94,0.0298,After
2024-01,TikTok Ads,4720.73,101,46.45,0.0406,After
2024-01,LinkedIn Ads,5160.18,75,68.57,0.0631,After
2024-01,Email Marketing,456.5,242,1.88,0.0726,After
2024-01,Organic Search,0.0,134,0.0,0.0394,After
2024-02,Google Ads,8897.17,149,59.6,0.0448,After
2024-02,Facebook Ads,5291.23,190,27.71,0.023,After
2024-02,TikTok Ads,3730.5,107,34.83,0.0245,After
2024-02,LinkedIn Ads,4142.32,68,60.44,0.0759,After
2024-02,Email Marketing,501.38,245,2.04,0.0668,After
2024-02,Organic Search,0.0,120,0.0,0.0586,After
2024-03,Google Ads,8867.59,154,57.34,0.0206,After
2024-03,Facebook Ads,6902.12,188,36.53,0.0298,After
2024-03,TikTok Ads,3880.37,90,42.76,0.019,After
2024-03,LinkedIn Ads,5531.09,67,81.94,0.0392,After
2024-03,Email Marketing,504.5,227,2.22,0.0781,After
2024-03,Organic Search,0.0,120,0.0,0.0313,After
2024-04,Google Ads,7137.33,135,52.85,0.0611,After
2024-04,Facebook Ads,7120.43,177,40.19,0.0564,After
2024-04,TikTok Ads,4387.03,106,41.01,0.0396,After
2024-04,LinkedIn Ads,4605.86,72,63.63,0.0599,After
2024-04,Email Marketing,563.36,234,2.41,0.036,After
2024-04,Organic Search,0.0,132,0.0,0.0789,After
2024-05,Google Ads,8813.59,146,60.04,0.0513,After
2024-05,Facebook Ads,6386.43,171,37.2,0.0481,After
2024-05,TikTok Ads,4334.91,93,46.44,0.0646,After
